Dataset,Sample,Link,preferred label
Oligodendroglioma,Microglia/Macrophage,http://purl.obolibrary.org/obo/CL_0000129,microglial cell
Oligodendroglioma,Oligodendrocytes (non-malignant),http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte
Oligodendroglioma,malignant_MGH36,http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte
Oligodendroglioma,malignant_MGH53,http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte
Oligodendroglioma,malignant_97,http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte
Oligodendroglioma,malignant_93,http://purl.obolibrary.org/obo/CL_0000128,oligodendrocyte
Melanoma,B,http://purl.obolibrary.org/obo/CL_0000236 ,B cell
,CAF,http://purl.obolibrary.org/obo/CL_0000057 ,fibroblast
,Endothelial,http://purl.obolibrary.org/obo/CL_0000115  ,endothelial cell
,Macrophage,http://purl.obolibrary.org/obo/CL_0000235 ,macrophage
,NK,http://purl.obolibrary.org/obo/CL_0000623  ,natural killer cell
,T,http://purl.obolibrary.org/obo/CL_0000084 ,T cell
Glioblastoma,Adipose - Subcutaneous,http://purl.obolibrary.org/obo/UBERON_0002190,subcutaneous adipose tissue
,Adipose - Visceral (Omentum),http://purl.obolibrary.org/obo/UBERON_0010414 ,omental fat pad
,Adrenal Gland,http://purl.obolibrary.org/obo/UBERON_0002369 ,adrenal gland
,Artery - Aorta,http://purl.obolibrary.org/obo/UBERON_0001496 ,ascending aorta
,Artery - Coronary,http://purl.obolibrary.org/obo/UBERON_0001621 ,coronary artery
,Artery - Tibial,http://purl.obolibrary.org/obo/UBERON_0007610 ,tibial artery
,Bladder,http://purl.obolibrary.org/obo/UBERON_0001255 ,urinary bladder
,Brain - Amygdala,http://purl.obolibrary.org/obo/UBERON_0001876 ,amygdala
,Brain - Anterior cingulate cortex (BA24),http://purl.obolibrary.org/obo/UBERON_0009835,anterior cingulate cortex
,Brain - Caudate (basal ganglia),http://purl.obolibrary.org/obo/UBERON_0001873,caudate nucleus
,Brain - Cerebellar Hemisphere,http://purl.obolibrary.org/obo/UBERON_0002037,cerebellum
,Brain - Cerebellum,http://purl.obolibrary.org/obo/UBERON_0002037,cerebellum
,Brain - Cortex,http://purl.obolibrary.org/obo/UBERON_0001870,frontal cortex
,Brain - Frontal Cortex (BA9),http://purl.obolibrary.org/obo/UBERON_0009834,dorsolateral prefrontal cortex
,Brain - Hippocampus,http://purl.obolibrary.org/obo/UBERON_0001954,Ammon's horn
,Brain - Hypothalamus,http://purl.obolibrary.org/obo/UBERON_0001898,hypothalamus
,Brain - Nucleus accumbens (basal ganglia),http://purl.obolibrary.org/obo/UBERON_0001882,nucleus accumbens
,Brain - Putamen (basal ganglia),http://purl.obolibrary.org/obo/UBERON_0001874,putamen
